#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.451,-0.15,0.71,0.68,-0.61,-0.42,-0.17,0.17,0.22,0.41,0.00
2.451,-0.16,0.72,0.70,-0.61,-0.42,-0.17,0.17,0.22,0.41,0.00
2.451,-0.16,0.74,0.73,-0.61,-0.42,-0.17,0.17,0.22,0.41,0.00
2.452,-0.16,0.74,0.73,-0.51,-0.17,-0.19,0.17,0.22,0.41,0.00
2.49,-0.16,0.74,0.73,-0.51,-0.17,-0.19,0.19,0.25,0.52,0.00
2.491,-0.16,0.74,0.73,-0.58,-0.23,-0.13,0.19,0.25,0.52,0.00
2.511,-0.12,0.73,0.75,-0.58,-0.23,-0.13,0.19,0.25,0.52,0.00
2.512,-0.10,0.72,0.75,-0.58,-0.23,-0.13,0.19,0.25,0.52,0.00
2.513,-0.14,0.73,0.75,-0.58,-0.23,-0.13,0.19,0.25,0.52,0.00
2.531,-0.14,0.73,0.75,-0.58,-0.23,-0.13,0.35,0.44,0.60,0.00
2.533,-0.14,0.73,0.75,-0.66,-0.05,0.41,0.35,0.44,0.60,0.00
2.568,-0.14,0.73,0.75,-0.66,-0.05,0.41,0.42,0.53,0.66,0.00
2.57,-0.17,0.74,0.73,-0.66,-0.05,0.41,0.42,0.53,0.66,0.00
2.57,-0.16,0.76,0.72,-0.66,-0.05,0.41,0.42,0.53,0.66,0.00
2.571,-0.16,0.76,0.72,-0.66,-0.05,0.41,0.42,0.53,0.66,0.00
2.572,-0.16,0.76,0.72,-0.60,-0.18,0.74,0.42,0.53,0.66,0.00
2.608,-0.16,0.76,0.72,-0.60,-0.18,0.74,0.37,0.51,0.80,0.00
2.61,-0.16,0.76,0.72,-0.69,-0.29,0.84,0.37,0.51,0.80,0.00
2.628,-0.14,0.77,0.71,-0.69,-0.29,0.84,0.37,0.51,0.80,0.00
2.629,-0.10,0.77,0.70,-0.69,-0.29,0.84,0.37,0.51,0.80,0.00
2.629,-0.10,0.77,0.68,-0.69,-0.29,0.84,0.37,0.51,0.80,0.00
2.647,-0.10,0.77,0.68,-0.69,-0.29,0.84,0.49,0.60,0.89,0.00
2.649,-0.10,0.77,0.68,-0.97,-0.12,0.71,0.49,0.60,0.89,0.00
2.688,-0.10,0.77,0.68,-0.97,-0.12,0.71,0.61,0.57,0.93,0.00
2.689,-0.11,0.80,0.65,-0.97,-0.12,0.71,0.61,0.57,0.93,0.00
2.689,-0.07,0.82,0.60,-0.97,-0.12,0.71,0.61,0.57,0.93,0.00
2.69,-0.02,0.82,0.60,-0.97,-0.12,0.71,0.61,0.57,0.93,0.00
2.691,-0.02,0.82,0.60,-0.61,-0.14,0.52,0.61,0.57,0.93,0.00
2.728,-0.02,0.82,0.60,-0.61,-0.14,0.52,0.30,0.45,0.83,0.00
2.729,-0.02,0.82,0.60,-0.74,-0.22,0.60,0.30,0.45,0.83,0.00
2.746,0.00,0.81,0.64,-0.74,-0.22,0.60,0.30,0.45,0.83,0.00
2.747,-0.00,0.79,0.69,-0.74,-0.22,0.60,0.30,0.45,0.83,0.00
2.747,0.01,0.76,0.71,-0.74,-0.22,0.60,0.30,0.45,0.83,0.00
2.767,0.01,0.76,0.71,-0.74,-0.22,0.60,0.25,0.61,0.88,0.00
2.768,0.01,0.76,0.71,-0.14,0.11,0.09,0.25,0.61,0.88,0.00
